id,user,text
680953423219548160,frugalmaniac,Why be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow
680938840715071488,devil_bhatti1,- WhEn I was a #Child I was #afraid of #ghosts ...! - As I grew up I #realized People are mOre #Scary...! 😕
680931233644187652,PorterHill,The DM normally says that direction the miniatures face doesn't matter in 3.5. Today he said usually. #DND #Afraid
680908092687650816,RevDownte3zy,I had to get things #STRAIGHT with what I had #DONE yesterday and I wasn't #AFRAID to #ASK for an (cont) http://tl.gd/nlk6e2
680903020029284353,WuytsLindsay,Please let 2016 be a good year... 2015 was such a worse year... #afraid #sad
680885813601644544,MyFaithCounts,“Never be #afraid to trust an unknown future to a known #God.” ― Corrie ten Boom
680875869221552128,drkent,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
680865812698234881,Cynthiapoet,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
680856802074980352,lovatic1998_x,Afraid to be who I really am. Afraid of myself. Afraid of the past. Afraid of the future. Afraid to be alone forever.. #Afraid..
680854951367696385,VaporPloomz,Higher Perspective on Instagram: “#afraid #quiet #think #introvert #solitude #loner... http://fb.me/5t3GacSHa
680833297392472064,delprestonroady,I'm afraid you've been misinformed. #afraid 
680833159823540224,frugalmaniac,Do not be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow pic.twitter.com/i9QRhoNUH6
680829213679726592,MJGarciaKCMO,Higher Perspective on Instagram: “#afraid #quiet #think #introvert #solitude #loner... http://fb.me/4kTqkctRf
680785921659301888,TargaryenNFL,"@CFD22 @MoveTheSticks after watching SDSU, @GeorgiaSouthern @BroncoSportsFB we see why Power 5 will not expand CFP to 16 or 32 teams #afraid"
680782536696446976,life_rumination,2016 - When everything's gonna change. #excited #nervous #afraid #happy #love
680767021479522305,ITItnews,http://buff.ly/1RHYUFy #SybaseCertifiedProfessional-PowerBuilderProfessional #Limited #Want #writetip #won #Afraid… 
680752885282422785,love_yva,"Putting my defenses up cos I dont wanna fall inlove, if I ever did that i think I'd have a heart attack! #HeartAttack #afraid :("
680745217260138497,joshualeostuart,Higher Perspective on Instagram: “#afraid #quiet #think #introvert #solitude #loner... http://fb.me/4GUGEFOOG
680738513898213377,zaibeebae,Higher Perspective on Instagram: “#afraid #quiet #think #introvert #solitude #loner... http://fb.me/GmsvHrxf
680735366329032704,Content_Managem,http://buff.ly/1RHYUp8 #SybaseCertifiedProfessional-PowerBuilderProfessional #Limited #Want #writetip #won #Afraid… 
680711877496836096,frugalmaniac,Are you #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow
680706039226974208,ekong_orok,"Beloved, when you #belong to #Christ, devils are #afraid of you."
680702604683390976,MacnewsMac,http://buff.ly/1RHYX40 #SybaseCertifiedProfessional-PowerBuilderProfessional #Limited #Want #writetip #won #Afraid… 
680663825213960192,ItzRoni,Higher Perspective on Instagram: “#afraid #quiet #think #introvert #solitude #loner... http://fb.me/22M0V6M5N
680663562696572928,Lori_Himmelman,Now that would scare the crap out ta me! #afraid #brows #no #coffee http://fb.me/2GfqjdDTo
680648104245366784,Travel__Videos,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
680624867788632064,realgaymania,RT CIO_News http://buff.ly/1RI1lrN #ReportDevelopmentwithSQLServerReportingServices #Shocked #publishing #Afraid… 
680619272306032640,ms1914official,"Don't be #afraid to go out on a limb, that's where the #fruit is!"
680617675131719682,PrayWithoutCea1,WHEN THOU LIEST DOWN THOU SHALT NOT B #AFRAID YEA THOU SHALT #LIE DOWN AN THY #SLEEP SHALL BE SWEET THANK U #JESUS #SWEET #DREAMS #EVERYONE
680614733335117824,FriendOfMino,@njoanyork And I'm #Afraid They Might Be F...Ing #Serious... :'-/
680591120699650055,frugalmaniac,Why be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow pic.twitter.com/i9QRhoNUH6
680572406877032449,HopeBlondeFord,Higher Perspective on Instagram: “#afraid #quiet #think #introvert #solitude #loner... http://fb.me/4euQya8S4
680527329781780482,m8ttr,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
680519471644209152,H_Fgawad,There's #nothing #sexier than a #man who is #inlove with his #woman and not #afraid to #show it. #love #romance
680514679635075079,RebekkaPtv,THIS!!! #truth #SocialAnxiety #anxiety #fears #afraid #social #sociallity #shit
